id,rate,”review",product_id,"created_at","updated_at",user_id,”occupation","length","often","hourly_wage",rate_flexibility,rate_wage,rate_future,rate_growth,rate_social,rate_value,rate_reccommendation,"review_job","review_authority","review_skills","review_training","review_environment","review_expectation","review_merit”
2,9,””,2,”2017-04-07 11:45:14","2017-04-07 11:45:14",2,"営業、ライター","6ヶ月〜11ヶ月","週3日〜4日","1000円〜1099円",10,8,10,10,10,2,10,"記事にするネタの発掘、その取材、記事執筆、編集を行なっていた。大まかに全ての割合は等しい。","100%任されていた。取材のたね、文章構成などなどすべてにおいて自分で見つけてやるスタンスであった。","仕事を生み出して最後まで自分で完遂すること。 SEOなどのちょっとしたネットリテラシー。 などなど。","基本的に体制は整っていません。放置されて自分で仕事を作らなければなにもない環境なので仕事一発目から自分でネタを見つけました。","オフィスは代表が持っている別の会社と同じオフィス。基本的に自社の社員が少ないのでアウェイ感はありました。","元々期待していたことは自分のこれまでの経験(留学、語学、研究分野)が活かせるんではないかと思った。そのまんま、期待通りいかせました。","周りがどうこうより普通の就活に参加するより、自分で生きる力をつける方法を1%くらいは体験できたこと。"
3,7,"aaaa",3,"2017-04-07 11:45:45","2017-04-07 11:45:45",3,"企画、広報","6ヶ月〜11ヶ月","週5日以上","歩合制",10,5,5,5,5,10,7,"▶︎業務内容 ・新規事業開拓：イタリア発祥のエステを旅館のサービスとして売り出していくために企画・広報を主に行いました。（100%） ・通常業務：フロントでのお客様対応、お車の誘導、お荷物運び等の旅館業務もやりました。（100%） ※全て同時にやりながらという感じだったので、100%とさせて頂きました。","▶︎エステを認知して頂くためのイベント企画、広報に関しては全て任せて頂いておりました。 ▶︎Facebookページは、僕が入ってから作ったのですがこちらも全てにおいて任せて頂いておりました。 ▶︎インターン期間中にHPをリニューアルするにあたっても、業者の方と打ち合わせからHPの作成まで、全て任せて頂いておりました。","▶︎自ら突破していくメンタル 　：正直、旅館いう環境は都内にある企業とは全然違います。社内環境はよくありません。人間関係はどろどろです。手伝ってくれる人もはじめは2人の社員さんしかいませんでした。（全ての旅館に言えるとは限りませんが。。）ただ、このような環境でも任せられることは多くて一つずつ前に進まなければなりません。うまくいくなんていう保証はありませんし、先のことは暗闇すぎてみえませんがもがいてもがいて突破していく。スキルとは言えないかもしれませんが、経験できたことは非常に大きな財産です。","▶︎僕がインターンしていたときは、社外にコーディネートしてくださる方がいました。（株式会社御祓川）ですので、インターン開始時・中間・終わりとその都度振り返りも込みの研修がありました。社内においては、新規事業・通常業務と部署ごとにお世話してくださる方がお一人ずついらしてくださり、打ち合わせ等はその方と行っていました。","▶︎雰囲気は最悪でしたね（笑）。旅館も中小企業の部類に入るのでどの企業さんも本来であればミーティングって月に何度かあると思うのですが、僕の旅館では三ヶ月に一度、半年もしないときがあるみたいな環境だったので社員同士の意思疎通はとれていなければ、会話すらも皆無に近かったです。なので、僕が切り出してミーティングを月に一度は持ちましたし、部署をこえたコミュニケーションを図るために飲み会もセッティングしたりしてました。","▶︎僕はとにかく、新規事業に関わりたい、ゼロ→イチで物事を進めたい！想いしかなかったので、そう意味ではやりがいのあるインターンであったとは思います。ただ、新規事業を進めるにも社員さんにご協力して頂けなくてはならないことも多々ありますし、コミュニケーションを図るうえでは社内環境をよくするのに時間を多く使ってしまったところがあったのでギャップは感じましたね。 まあ、それも込みでゼロ→イチをさせてもらえと思っています。","▶︎うーん、正直メリットと言われるとないっすよね（笑）あ、温泉に毎日入れるくらいかな（笑）まあ、でもこんな環境もあるんだ。そんな中で働いていらっしゃる方がいて、ある意味地域経済を担っているんだと感じることできる環境ではありますね。それと、自分の固定概念みたいものは一日目で総崩れしますし、頭だけで描いていても現場で行動にうつさないと意味がないあたりとか生々しく感じることができるので、それを感じた方にはおすすめです！（笑）"
4,7,"aaaa",4,"2017-04-07 11:45:48","2017-04-07 11:45:48",1,"編集"," 6ヶ月〜11ヶ月","週1日〜2日","無給（交通費支給）",8,5,10,8,10,10,10,"（１）bitecho（Webアートサイト）の記事作成、ライターさんの記事の修正＝60％ （２）「美術手帖」編集部アシスタント業務（国会図書館や都内の図書館での文献調査、コピー、配達物の仕分けや郵便物管理など）＝30％ （３）アーティストインタビューの文字おこし＝5％ （４）印刷所への外回り＝5％","民事再生後でバイト含め社員も一新していたところの一人目のインターンだったので、無給インターンとしてはそこそこ裁量権があったと感じる。バイトと同じくらいです。"," ・フォトショ・イラレ、プログラミングやHP作成における基礎スキル…bitechoという新規プログラムが立ち上げられたばかりで、社員の方と試行錯誤しながら作り上げたので、基礎を教えてもらえる機会が多かった。 ・文献調査スキル…ほしい文献の効率的な検索の仕方や有効な手順など。 ・社会人としてのマナー （インターンといえど、アーティストの方や印刷所の方に会う機会がかなりあった）","自分がはじめてのインターンだったので、入ったころは試行錯誤といった雰囲気だったが、よいインターンシステムを作ろうという雰囲気は強く、受け入れ体勢も整っていったと思う。 研修システムはとくにないです。 編集部の社員さんは忙しいので、インターン生担当のバイトの方というのがいました。","編集部なので出社時間など決まっておらず外回りも多いので、人はそこまでおらず落ち着いた雰囲気。 ただ、皆かなり忙しそうで、話しかけづらい雰囲気はありました。 編集長さんが明るく気さくな方なので、堅苦しい雰囲気ではないと思います。","美術手帖の愛読者であったこと、美術に関係のある職業に就きたかったことからインターンを希望しました。美術に関する知識をつけること、編集業務の基礎を知ることが目的でした。 実際に上記のスキルを得られることはできましたが、正直なところ、「インターンはインターンでしかない」と感じました。会社の状況が民事再生後で正念場だったのもありますし、編集者の忙しさは有名なので覚悟していましたが、未社員さんは基本的に時間がなさそうで、教えてもらうことにかなり抵抗を抱きました。（教えてほしいといえば教えてもらえました。）","「美術手帖」は美術界で知らない人はまずいない雑誌なので、美術系で就活したい方には必ず有利になります。文献調査や記事作成で得た現代美術の情報は普段の生活でも役に立ちますし、有名なアーティストの方にも会えるので、アート業界を知るにはとてもよい機会だと思います。"
5,7,"abcde",5,"2017-04-07 12:04:23","2017-04-07 12:04:23",2,"ライターインターン","3ヶ月〜5ヶ月","週1日〜2日","無給（交通費なし）",10,5,8,8,8,5,7,"業務内容；海外で発信されているウェブメディアの記事を翻訳し、構成し直し、インターン先生をして下さるライターさんと記事を書く。2週に1本程度。 割合；記事を書く８０%、ネタ探し２０%","自分が担当する記事は、ライターさんのアドバイスをいただきながら最初から最後まで書くことができる。全て署名が入る。","翻訳；元ネタは英語でそれを翻訳するため、どう日本語に訳すかは常に考える 文章構成；読者の方と価値を共有するためどんなストーリーで書けばいいか、アドバイスをもらうことができる","インターンは全てリモートだが、インターン担当のライターさんとは構成含め、細かいやりとりをする。面倒見はとてもいい。","全てリモート。国内外問わずに参加できる。インターン参加者もgreenzのライターさんもgreenz的な価値観を大切にする人が多い。とても多様で自由な雰囲気。","記事の構成は思ったよりずっと丁寧だった。読者としてgreenzのファンだったが、より好きになった。もっと長くやりたかったという印象。","様々な価値観を持った人と出会うことができる。リモートなので週一の会議は漁港から参加する方がいたり、自分もインドから参加したり。「今どこにいるんですか〜？」から始まる会議は楽しかった。記事を書くいろはすごく丁寧に教えてもらえるのでおすすめ。"
6,8,"a",6,"2017-04-08 06:36:58","2017-04-08 06:36:58",3,"アプリ開発、翻訳","3ヶ月〜5ヶ月","週3日〜4日","1000円〜1099円",10,8,5,8,8,8,8,"地図を使ったアプリ開発に携わった。幅広い年代をターゲットにしたアプリだったが、そこに若者の視点が欲しいということでチームに入れて頂いた。アプリのバグの確認(デバック作業)とアプリ内の英日翻訳も担当した。マーケティング40%、翻訳60%","アプリ内のマークに関して自分の提案したものを採用してもらえたり、裁量権は大きかったと思う。ほぼ社員と同じ立ち位置でミーティングにも混ぜて頂いた。","・スキルというよりITの会社は実際にどんな事をするのか知れた事が自分には1番大きかった。 ・ターゲットが何を求めているか考えて機能を提案するという面ではマーケティングスキルも身についた。","私に仕事を教え割り振ってくれる担当の人がいた。常に向かいのデスクで仕事をしていていつでも質問に答えてくれ、かなり手厚く可愛がって教育して頂いた。日々の仕事終わりに書く今日の学び、というところにも毎日コメントを書いてくださる程だった。","いる人達が本当に良い人ばかりだった。インターンでも歓迎会を開いてくれたり、短い期間だったが皆さんが可愛がって優しく見守ってくれる雰囲気があった。","期待:もっと色んな人と話す機会があった。ギャップ:パソコンの前でひたすらバグの有無確認と翻訳に勤しむ時間が多く、かなり個人での仕事が多かった。","アプリ開発という貴重な経験ができた。またIT企業といっても漠然としていて何をするのかいまいち想像がつかなかったが、内情をされた事が大きなメリットだった。"
7,6,"a",7,"2017-04-08 06:36:58","2017-04-08 06:36:58",1,"総合職","1ヶ月未満","週5日以上","1000円〜1099円",5,8,8,10,8,8,8,"業務内容:プログラミングを駆使して、現状の様々な業界の問題点を解決するソフトウェアを開発する。60%プログラミング 20%企画構想 20%社員にプレゼン","問題能力発掘型インターンであり、企業側から学生側にお題を与え、それに対して一ヶ月の間考え抜き答えを出すというインターンだったため、裁量権はなかった。","・圧倒的な思考力とアウトプット方法:考えたものを言語化し、それを上手くアウトプットする方法をトライアンドエラーを繰り返すことで徹底的に練習することができ、結果論理的に深く考え、それを表現する能力が身についた。","社員が定期的にキャリア相談という形で面談をしてくれた。また、週末にはフリーナイトという形でお酒を片手に色々なお話をしてくださって社会に出るイメージがついた。","オフィスではなく、貸しビルの一フロアを借りてインターンを行なったため、会社の実際の雰囲気はわからない。","論理的思考力を得たいと思い、参加したが結果的に一ヶ月のインターンを通して手に入れることができたと思う。","論理的思考力を鍛えたい人にはオススメである。また、同年代の優秀な学生が多く集まっているので切磋琢磨し合いたい人にはとてもオススメである。"
8,7,"a",8,"2017-04-08 06:36:58","2017-04-08 06:36:58",2,"記者","3ヶ月〜5ヶ月","週3日〜4日","無給（交通費支給）",10,8,8,8,8,8,7,"業務内容:取材(50%)記事執筆(30% )記事翻訳(20%) 自分の書いた記事が残るのは嬉しい。様々な場所に取材に行かせてもらえる。","基本的に裁量権はない。記事執筆後、編集長に見てもらい、フィードバックをもらう。編集長が再度編集したものが掲載される。","翻訳スキル:翻訳の仕方、伝わりやすい書き方が身につく ビジネス英会話:英語でインタビューをすることもある。","インターンは基本的に数は決まっていない。カリキュラムが特に存在するわけでもないが、自由にスケジュール等を組ませてもらえる。","海外で働いた経験がなくても、海外で働いた時のオフィス環境を体感できる。非常にアットホームでやりやすい。","期待:様々な人間に会う。自分の記事が残る。実態:映画の取材でハリウッド俳優の取材にも参加できた。期待以上のインターン内容だった。","自分が出会うことのないような人々の話しをインタビューを通じて会うことができる。自分の記事が残ることで目で成果を確かめられる。"
9,9,"a",9,"2017-04-08 06:36:58","2017-04-08 06:36:58",3,"エンジニア","6ヶ月〜11ヶ月","週1日〜2日","1000円〜1099円",10,5,8,10,8,10,8,"業務内容 プロジェクトによる Pythonのテストがある（1ヶ月） 80%プログラミング 10%プレゼン資料作成、分析 10%エクセル作業","プロジェクトによるが、ほとんどのプロジェクトは進め方に関してもある程度の意見が言える。自分が作ったものがそのまま完成品として出されることもある。","·python ·SQL ·エクセルスキル ·会社での基本的なPCスキル（勤怠など） （·統計分析スキル）","初めの一ヶ月はPythonでクローリングをかけるように勉強する。その後も勉強する時間も取ってもらえることがある。基本的には自分で本を読みわからないことを聞くスタイル。","学生が多いので仲良くはなれる。社員さんとの距離は近い。ただ他の部署とのかかわりはあまりなく学生スタッフをもつ部署ではたらく。","期待 プログラムを実務で学べる 働くとはどのようなことか体験したい 就活のネタにする 実際 プログラムは学べるがプロジェクトによってプログラムなのか統計分析なのか異なる 就活では話のネタにはなる（この業界を志望する理由として的確）","プログラムを実務で活かせる。統計分析なども可能。わりとやりたいことを聞いてくれる。お客様先にいけることもある。"
10,9,"a",10,"2017-04-08 06:36:58","2017-04-08 06:36:58",1,"Global Digital Marketing","6ヶ月〜11ヶ月","週5日以上","1000円〜1099円",5,5,5,8,10,10,6,"Market research, especially focusing on South East Asian region - Preparing and participating in meeting with client (including creating PPT slides, english communication with clients in overseas etc)","Few limits on my work ( except business trip in overseas)","Communication skills with Japanese Business manner in meeting Research ability","few training session for interns (generally there is no certain job as the interns. i was the only and first student intern of my team )","No strong pressure on interns, but strict and hierarchy business atmosphere for 正社員","Improving the basic office work, such as PPT, Excel, and basic business manners in Japan","great experience to realize the working environment in Japan and doing business with Japanese members."
11,8,"a",11,"2017-04-09 06:00:56","2017-04-09 06:00:56",2,"リサーチアシスタント","6ヶ月〜11ヶ月","週3日〜4日","1000円〜1099円",10,8,10,10,10,10,9,"・業務内容：自社が開発した人材データベースの中から、クライアントが話してみたいと思う人材をリスト化して社員に報告。英語が得意なインターン生は、英語翻訳や海外クライアントとの英語の簡単なやり取りも担当。人材データベースからリスト化＝90％、その他適宜必要な業務＝10％","インターン制の裁量は広く、自分から提案すれば様々な業務が体験できる。クライアントとの直接交渉は、社員の役割であるが、それを除けば能力に応じて自由に仕事をさせてもらえる。","・リサーチスキル：自分の知らないことや、業務遂行にあたって知るべきことを最短時間で探す力。・対人コミュニケーションスキル：職場内でいかにして円滑なコミュニケーションを図るかを常に学ぶことになった。","インターン担当の社員が、きめ細やかに指導してくれる。クライアントの機密情報を扱う場合もあるため、機密情報の取扱い等に関する研修がなされるなど、本格的に学ぶことができた。また、ランチや月に一度ある交流会を通して社員と話す機会があり、働き方や生き方を学ぶ場としても有益であった。","和気あいあいとした雰囲気。加えて、子育てにも寛容で17時定時で帰宅しなければならない社員に対する理解もあった。積極的に働き方改革を推進しているベンチャー企業ならではの居心地の良さがあった。","元々は、サーチスキルを上げるために志望したが、上記のような様々な学びの機会に恵まれた。単刀直入に言えば、期待以上の成果があったインターンシップだった。","世の中にいかなる企業があるのか、また、現在どのようなフィールドに市場価値の高い知見があるかを知ることができる。加えて、社員との交流を通して社会人になってからの生活をどのようにデザインするかを考えるよいきっかけとなった。"
12,9,"aaabbb",12,"2017-04-09 06:03:50","2017-04-09 06:03:50",3,"コミュニケーション","1ヶ月〜2ヶ月","週3日〜4日","無給（交通費なし）",10,5,5,8,5,8,6,"希望を出したら対応してもらえる。私はウェブサイトの編集や、パンフレットのレイアウトに関わった。20% パンフレット 80% コミュニケーション","意見は聞いてくれた。特に裁量権などについては考えなかった。それほど、裁量権や権限を気にするような仕事をしていないと思う。","社会に出る上でどのようなスキルを手に入れると役に立つか考え、自分なりに発見し、次に進む機会となった。プログラミングに対する興味が深まった。","他にもインターン生が居たから、打ち解けた。働いている人は皆さん良い人で、日本人、フランス人共にフレンドリーに接してくれた。","良い意味でゆる〜く、好きなようにさせて頂いていたと思う。フランスっぽくてかっこよかった。よく、映画の撮影などで使われるらしい。"," フランス語を学んでいて、それを使いたかった。春休み中にフランス語にそれなりに関わることが出来たと思う。","働くことの意味を考える良い機会になった。フランス語を学んでいるならば、情報収集出来る。使いたければフランス語を使える。"
13,7,"aaaaaaaaaaaaaaaaaa",13,"2017-04-09 06:04:29","2017-04-09 06:04:29",1,"商品開発","6ヶ月〜11ヶ月","週1日〜2日","1000円〜1099円",10,8,10,10,10,8,8,"高校生向けに教育プログラムを開発した。一つは、勉強法を発見するプログラム、もう一つは進路目標を持つプログラムである。プログラム開発が業務の１００％を占める。","開発テーマの選定から開発、トライアル、販売まで、全ての権限を与えられ、担当社員の方とともにプラグラム開発の全工程を担う。","論理的思考：各プログラムのコンテンツを実施する目的や効果など、全てのことに意義を持たせることが求められ、論理的にものごとを考察する視点が身についた。","裁量が大きい分フィードバックも厳しく、改善点については事細かく指摘される。しかし、良い点についても積極的に評価してもらえる。","週に１回２時間のmtgがあり、それ以外は自宅での作業。自分を律しないと、作業に支障が出る。仲間は大変フレンドリーでチームワークは良い。","期待：高校生が進路について主体的に考えられるようなプログラムの作成 ギャップ：勉強内容に特化したプログラムの開発が先行した","売れる教育プログラムとはどのようなものなのかを、身をもって学べる。商品開発で必要なマーケティング的視点が身につく。"
14,6,"1",14,"2017-04-09 06:04:29","2017-04-09 06:04:29",2,"メディア開発","6ヶ月〜11ヶ月","週3日〜4日","1000円〜1099円",10,10,8,10,8,8,8,"業務内容:女子大生向けウェブメディアの企画・運営をした。 デザインの企画 30%、インタビューや記事を書くライター業務 40%、SNS運用 30%","記事内容などに関しては自分たちで大部分を決めることができた。予算や法務関連事項以外についてはインターン生の裁量に任せられていた。","・企画力:実際のデータをもとに今後の方向性を考えて企画をすることができるようになった。既存のものに頼らず新しいアイディアを打ち出す能力が身についた。 ・プレゼン力:自分たちの企画を社員の方に認めてもらうために、会議の際のプレゼン力が身についた。","社員の方とはSlackを通じて、頻繁に様々な意見を交わすことができる。また週に1度は会議がありそこでも関わることができる。
","オフィスは活気があり明るい雰囲気。固定のデスクではなく円形テーブルの空いている席に座るような形になっている。日によってはインターン生同士がまとまって座れないこともある。","期待:記事のライター業務が主だと考えていた ギャップ:実際はSNS運用やサイト内で使用するキャラクターのデザインの企画など業務の分野が多岐にわたっていた。","社員の方にアドバイスなどをいただけることが多く、役立つ知識が得られた。またインターン生同士の関わりでコミュニティが広がった。企画や取材、アポ取りなどのスキルは大学の研究を進める上でも役立った。"
15,6,"a",15,"2017-05-17 14:49:19","2017-05-17 14:49:19",3,"ウェブマーケティング","3ヶ月〜5ヶ月","週1日〜2日","900円〜999円",10,8,8,8,4,8,7,"女性向け情報メディアの運営 クラウドソーシング：１０％ 記事タイトル作成：３０％ 記事検収：４０％ ライター対応：２０％","タイトルを作成し、どのような記事を書いてもらうのかを決定した。記事内容を確認し、ウェブサイトに記事を投稿した。","マーケティングスキル：SEOを上げるために、どのような内容の記事を書いてもらえば良いのかを考えることができる。","相互にインターン生でフィードバックをし合い、改善点については包み隠さず指摘し合う。厳しいフィードバックを受け入れる心構えが必要。","オフィスは開放的なつくりで、休憩スペースがあるなど、人間工学に基づいた設計。自分の主張をはっきり通そうとする社員が多い。","期待：ウェブマーケティングスキルの体得 ギャップ：雑務的要素の強い仕事も多く、根気のいる作業の連続だった。","ウェブマーケティングの基礎的な知識を身に付けることができ、ウェブサイト運営やSEOなどに関する実務的ノウハウが身につく。"
16,7,"a",16,"2017-05-17 14:49:29","2017-05-17 14:49:29",1,"ビジネス全般","1ヶ月〜2ヶ月","週5日以上","無給（交通費なし）",8,5,4,8,8,10,7,"【業務内容(2015年夏当時)】 選挙を控えたカナダにて、環境保全を目的に様々な政治的活動を行なっていました。当時カナダでは経済を重視するハーパーが政権を持っていましたが、当NPOは環境を重視するNew Democratic PartyとLiberal Partyを応援していました。選挙の結果、Liberalが当選し、Justin Trudeauが首相になりました。 具体的に私は ・Pipeline反対の署名活動 (50%) ・署名していただいた人に対して電話でカナダの政治状況に関する電話(25%) ・個人情報などデータ整理(25%) を行なっていました。","どこにいつ署名活動に行くか、どこに電話をするか、今日何の活動をするか以外の大体の裁量権をいただきました。 例:オフィスの開閉、データのアクセス権、そして署名活動中における自由に動ける権利","・コミュニケーション能力 : 署名活動でも電話応対にしても、全く知らない現地の方々と直接自分から関わりに行かなければいけなかったため、Pipelineに賛成している人やハーパー政権を推している人など、色々な考えを持っている人たちはいたが、その中で自分から行動し上手に関わるコミュニケーション能力はついたと思います。 ・環境適応能力 : オフィスにも年齢問わず色々な方がいました。私は唯一の日本人で英語もネイティブではなく、カナダの政治もさっぱり分かりませんでしたが、それなりに分からないことがあれば周囲の人に質問したり、友達も一人もいなかったので、オフィスの人を誘って休日会う機会を作ったりしました。","・優しい人たちばかりだったが、研修などは一切なし。ですが全活動の前に代表の方とミーティングをしていただいて、何をするかなどは説明していただきました。 ・活動期間中にOrganizingに関する外部の研修を一回参加する機会はありました。一日中かかるもので、組織構成に関して役立つ考えや実際に話して行く上でのロープレをしました。","・とてもとても小さな一部屋のオフィス(Vancouver本部の場合。至る所に支部がある)で、大規模なオフィスと大勢の人を想像していたので、思っていたより落ち着く環境でした。 ・私が活動していたVancouver本部は、センター街であるWaterfront駅から歩いて10分くらいで、近くには港もありゆったりする公園もたくさんありました。ランチタイムなどはその公園のベンチでゆったり座って食べたりしました。 ・オフィスには優しい人たちばかり。日本人の旦那さんがいるカナダ人女性がいて、私のことを自分の娘のように良くしてくれました。","期待: 英語力向上と環境に対して働きかけることの経験 ギャップ: 上記のような期待を持って活動を始めましたが、最初はデータ入力など日本にいても誰でも出来るような作業のみだったので、カナダに来てまで何をしてるんだろうと思っていました。ですが、署名活動で色々な地区の家を訪問しながら歩き回ったり、電話応対をしている内に、カナダの政治状況や活動内容の目的を理解していくことができ、元々持っていた期待以上に得るものは多かったように感じます。","時期によって活動内容は異なりますが、日本人はいないので常に英語で業務を行うことになります。分からないことがあったり、やりたいことを伝えるときも、全て英語です。知り合う人達もカナダ人や中国人ばかりです。なので、新しい環境に自分を置いてみたい方や、海外の政治と関わりたい方、学生ではなくただカナダでの生活を経験してみたい方には、当NPOでの活動は面白い環境だと思います。"
